seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12898,720609,44,-1,45'+3',"Corner, Istanbul Basaksehir. Conceded by Lukas Grgic.",2024-10-04 05:37:14
12898,720609,45,43903725,45'+4',"Corner, Istanbul Basaksehir. Conceded by Bendegúz Bolla.",2024-10-04 05:37:14
12898,720609,46,43903726,45'+4',"First Half ends, Istanbul Basaksehir 1, Rapid Vienna 1.",2024-10-04 05:37:14
12898,720609,47,-1,45',"Second Half begins Istanbul Basaksehir 1, Rapid Vienna 1.",2024-10-04 05:37:14
12898,720609,48,43903754,46',"Goal! Istanbul Basaksehir 1, Rapid Vienna 2. Louis Schaub (Rapid Vienna) left footed shot from the centre of the box to the centre of the goal. Assisted by Guido Burgstaller.",2024-10-04 05:37:14
12898,720609,49,43903765,49',Attempt missed. Guido Burgstaller (Rapid Vienna) left footed shot from more than 35 yards misses to the left. Assisted by Dion Beljo.,2024-10-04 05:37:14
12898,720609,50,43903779,50',Attempt saved. Dion Beljo (Rapid Vienna) left footed shot from the centre of the box is saved in the top right corner. Assisted by Guido Burgstaller.,2024-10-04 05:37:14
12898,720609,51,43903789,52',Foul by Bendegúz Bolla (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,52,43903789,52',Serdar Gürler (Istanbul Basaksehir) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,53,43903793,53',Foul by Dion Beljo (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,54,43903793,53',Ousseynou Ba (Istanbul Basaksehir) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,55,43903795,55',Foul by Krzysztof Piatek (Istanbul Basaksehir).,2024-10-04 05:37:14
12898,720609,56,43903795,55',Lukas Grgic (Rapid Vienna) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,57,43903805,55',"Corner, Rapid Vienna. Conceded by Onur Ergün.",2024-10-04 05:37:14
12898,720609,58,43903813,58',Attempt missed. Dion Beljo (Rapid Vienna) right footed shot from the centre of the box is too high.,2024-10-04 05:37:14
12898,720609,59,43903817,59',Foul by Guido Burgstaller (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,60,43903817,59',Miguel Crespo (Istanbul Basaksehir) wins a free kick in the attacking half.,2024-10-04 05:37:14
12898,720609,61,43903818,59',Guido Burgstaller (Rapid Vienna) is shown the yellow card for a bad foul.,2024-10-04 05:37:14
12898,720609,62,43903820,60',Attempt missed. Guido Burgstaller (Rapid Vienna) left footed shot from the left side of the box is too high. Assisted by Louis Schaub.,2024-10-04 05:37:14
12898,720609,63,-1,61',Delay in match (Istanbul Basaksehir).,2024-10-04 05:37:14
12898,720609,64,43903830,62',"Substitution, Istanbul Basaksehir. Berkay Özcan replaces Miguel Crespo.",2024-10-04 05:37:14
12898,720609,65,43903831,62',"Substitution, Istanbul Basaksehir. Dimitris Pelkas replaces João Figueiredo.",2024-10-04 05:37:14
12898,720609,66,-1,63',Delay over. They are ready to continue.,2024-10-04 05:37:14
12898,720609,67,43903832,64',Attempt saved. Matthias Seidl (Rapid Vienna) right footed shot from outside the box is saved in the centre of the goal. Assisted by Guido Burgstaller.,2024-10-04 05:37:14
12898,720609,68,43903836,64',Attempt blocked. Guido Burgstaller (Rapid Vienna) left footed shot from outside the box is blocked. Assisted by Bendegúz Bolla.,2024-10-04 05:37:14
12898,720609,69,-1,66',Delay in match (Istanbul Basaksehir).,2024-10-04 05:37:14
12898,720609,70,43903840,66',Matthias Seidl (Rapid Vienna) is shown the yellow card.,2024-10-04 05:37:14
12898,720609,71,-1,67',Delay over. They are ready to continue.,2024-10-04 05:37:14
12898,720609,72,43903851,68',Foul by Onur Ergün (Istanbul Basaksehir).,2024-10-04 05:37:14
12898,720609,73,43903851,68',Jonas Auer (Rapid Vienna) wins a free kick on the left wing.,2024-10-04 05:37:14
12898,720609,74,43903878,72',"Offside, Rapid Vienna. Matthias Seidl is caught offside.",2024-10-04 05:37:14
12898,720609,75,43903869,72',GOAL OVERTURNED BY VAR: Dion Beljo (Rapid Vienna) scores but the goal is ruled out after a VAR review.,2024-10-04 05:37:14
12898,720609,76,43903876,75',VAR Decision: No Goal Istanbul Basaksehir 1-2 Rapid Vienna.,2024-10-04 05:37:14
12898,720609,77,43903879,75',"Substitution, Istanbul Basaksehir. Davidson replaces Serdar Gürler.",2024-10-04 05:37:14
12898,720609,78,43903880,75',"Substitution, Istanbul Basaksehir. Lucas Lima replaces Deniz Türüç.",2024-10-04 05:37:14
12898,720609,79,43903882,77',Hand ball by Bendegúz Bolla (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,80,-1,77',"Corner, Istanbul Basaksehir. Conceded by Jonas Auer.",2024-10-04 05:37:14
12898,720609,81,43903937,79',Attempt missed. Matthias Seidl (Rapid Vienna) right footed shot from very close range misses to the right.,2024-10-04 05:37:14
12898,720609,82,43903907,81',Attempt blocked. Davidson (Istanbul Basaksehir) right footed shot from outside the box is blocked. Assisted by Berat Özdemir.,2024-10-04 05:37:14
12898,720609,83,43903904,81',Attempt missed. Krzysztof Piatek (Istanbul Basaksehir) header from the centre of the box is high and wide to the right.,2024-10-04 05:37:14
12898,720609,84,43903911,82',"Substitution, Rapid Vienna. Maximilian Hofmann replaces Louis Schaub.",2024-10-04 05:37:14
12898,720609,85,43903912,83',"Substitution, Istanbul Basaksehir. Philippe Keny replaces Berat Özdemir.",2024-10-04 05:37:14
12898,720609,86,43903913,83',"Substitution, Rapid Vienna. Nikolaus Wurmbrand replaces Dion Beljo.",2024-10-04 05:37:14
12898,720609,87,43903915,83',Dimitris Pelkas (Istanbul Basaksehir) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,88,43903915,83',Foul by Mamadou Sangaré (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,89,-1,86',Delay in match because of an injury Mamadou Sangaré (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,90,43903924,87',"Substitution, Rapid Vienna. Tobias Børkeeiet replaces Mamadou Sangaré because of an injury.",2024-10-04 05:37:14
12898,720609,91,-1,87',Delay over. They are ready to continue.,2024-10-04 05:37:14
12898,720609,92,43903939,89',Attempt blocked. Davidson (Istanbul Basaksehir) left footed shot from the left side of the box is blocked. Assisted by Krzysztof Piatek.,2024-10-04 05:37:14
12898,720609,93,-1,90',Fourth official has announced 8 minutes of added time.,2024-10-04 05:37:14
12898,720609,94,43903944,90'+3',"Corner, Istanbul Basaksehir. Conceded by Maximilian Hofmann.",2024-10-04 05:37:14
12898,720609,95,43903951,90'+4',Dimitris Pelkas (Istanbul Basaksehir) wins a free kick on the left wing.,2024-10-04 05:37:14
12898,720609,96,43903951,90'+4',Foul by Nikolaus Wurmbrand (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,97,43903953,90'+4',Attempt missed. Jerome Opoku (Istanbul Basaksehir) header from a difficult angle on the right is high and wide to the right. Assisted by Dimitris Pelkas with a cross following a set piece situation.,2024-10-04 05:37:14
12898,720609,98,43903956,90'+5',"Substitution, Rapid Vienna. Noah Bischof replaces Guido Burgstaller.",2024-10-04 05:37:14
12898,720609,99,43903961,90'+7',"Corner, Rapid Vienna. Conceded by Jerome Opoku.",2024-10-04 05:37:14
12898,720609,100,43903964,90'+8',Attempt saved. Krzysztof Piatek (Istanbul Basaksehir) right footed shot from outside the box is saved in the top right corner. Assisted by Lucas Lima with a headed pass.,2024-10-04 05:37:14
12898,720609,101,43903966,90'+8',"Corner, Istanbul Basaksehir. Conceded by Niklas Hedl.",2024-10-04 05:37:14
12898,720609,102,43903967,90'+9',"Second Half ends, Istanbul Basaksehir 1, Rapid Vienna 2.",2024-10-04 05:37:14
12898,720609,103,-1,,"Match ends, Istanbul Basaksehir 1, Rapid Vienna 2.",2024-10-04 05:37:14
12898,720610,0,-1,,Lineups are announced and players are warming up.,2024-10-04 05:37:14
12898,720610,1,43903713,,Attempt missed. Mikel Villanueva (Vitoria Guimaraes) header from more than 35 yards is just a bit too high. Assisted by Tiago Silva with a cross following a corner.,2024-10-29 05:21:26
12898,720610,2,43903561,,Attempt saved. Kaio César (Vitoria Guimaraes) left footed shot from more than 35 yards is saved in the bottom left corner. Assisted by João Teixeira Mendes.,2024-10-29 05:21:26
12898,720610,3,43903540,,First Half begins.,2024-10-29 05:21:26
12898,720610,4,43903558,,"Goal! Vitoria Guimaraes 1, Celje 0. Samu (Vitoria Guimaraes) left footed shot from more than 35 yards to the bottom left corner.",2024-10-29 05:21:26
12898,720610,5,43903664,,"Goal! Vitoria Guimaraes 2, Celje 0. Gustavo Silva (Vitoria Guimaraes) left footed shot from more than 35 yards to the bottom left corner. Assisted by Bruno Gaspar.",2024-10-29 05:21:26
12898,720610,6,43903571,3',Foul by Svit Seslar (Celje).,2024-10-29 05:21:26
12898,720610,7,43903571,3',Tomás Händel (Vitoria Guimaraes) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,8,43903556,6',Foul by Bruno Gaspar (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,9,43903556,6',Tamar Svetlin (Celje) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,10,-1,15',Delay in match because of an injury Bruno Varela (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,11,-1,16',Delay over. They are ready to continue.,2024-10-29 05:21:26
12898,720610,12,-1,17',Attempt blocked. Luka Bobicanec (Celje) right footed shot from outside the box is blocked. Assisted by Armandas Kucys.,2024-10-29 05:21:26
12898,720610,13,43903600,17',"Corner, Celje. Conceded by Mikel Villanueva.",2024-10-29 05:21:26
12898,720610,14,43903614,19',Armandas Kucys (Celje) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,15,43903614,19',Foul by Mikel Villanueva (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,16,-1,21',Delay in match because of an injury Armandas Kucys (Celje).,2024-10-29 05:21:26
12898,720610,17,-1,21',Delay over. They are ready to continue.,2024-10-29 05:21:26
12898,720610,18,43903619,22',Foul by David Zec (Celje).,2024-10-29 05:21:26
12898,720610,19,43903619,22',Nélson Oliveira (Vitoria Guimaraes) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,20,43903633,26',Foul by Svit Seslar (Celje).,2024-10-29 05:21:26
12898,720610,21,43903633,26',Tiago Silva (Vitoria Guimaraes) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,22,43903652,32',"Offside, Vitoria Guimaraes. Bruno Gaspar is caught offside.",2024-10-29 05:21:26
12898,720610,23,43903655,33',Attempt missed. Aljosa Matko (Celje) right footed shot from a difficult angle on the right misses to the right. Assisted by Juanjo Nieto with a cross.,2024-10-29 05:21:26
12898,720610,24,43903657,34',"Offside, Vitoria Guimaraes. Kaio César is caught offside.",2024-10-29 05:21:26
12898,720610,25,43903677,39',"Offside, Vitoria Guimaraes. João Teixeira Mendes is caught offside.",2024-10-29 05:21:26
12898,720610,26,43903708,42',Foul by David Zec (Celje).,2024-10-29 05:21:26
12898,720610,27,43903708,42',Nélson Oliveira (Vitoria Guimaraes) wins a free kick in the attacking half.,2024-10-29 05:21:26
12898,720610,28,43903711,45',"Corner, Vitoria Guimaraes. Conceded by Juanjo Nieto.",2024-10-29 05:21:26
12898,720610,29,-1,45',Fourth official has announced 3 minutes of added time.,2024-10-04 05:37:14
12898,720610,30,43903720,45'+2',Foul by Kaio César (Vitoria Guimaraes).,2024-10-04 05:37:14
12898,720610,31,43903720,45'+2',Tamar Svetlin (Celje) wins a free kick on the left wing.,2024-10-04 05:37:14
12898,720610,32,43903727,45'+3',Aljosa Matko (Celje) wins a free kick on the right wing.,2024-10-04 05:37:14
12898,720610,33,43903727,45'+3',Foul by João Teixeira Mendes (Vitoria Guimaraes).,2024-10-04 05:37:14
12898,720610,34,43903729,45'+5',"First Half ends, Vitoria Guimaraes 2, Celje 0.",2024-10-04 05:37:14
12898,720610,35,43903859,45',Attempt blocked. Nino Kouter (Celje) right footed shot from more than 35 yards is blocked. Assisted by Ivan Brnic.,2024-10-29 05:21:26
12898,720610,36,43903771,45',Attempt saved. Svit Seslar (Celje) left footed shot from more than 35 yards is saved in the top centre of the goal. Assisted by Tamar Svetlin.,2024-10-29 05:21:26
12898,720610,37,43903935,45',"Goal! Vitoria Guimaraes 2, Celje 1. Aljosa Matko (Celje) right footed shot from more than 35 yards to the top left corner. Assisted by Ivan Brnic.",2024-10-29 05:21:26
12898,720610,38,-1,45',"Second Half begins Vitoria Guimaraes 2, Celje 0.",2024-10-29 05:21:26
12898,720610,39,43903748,45',"Substitution, Celje. Ivan Brnic replaces Juanjo Nieto.",2024-10-29 05:21:26
12898,720610,40,43903753,47',Armandas Kucys (Celje) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,41,43903753,47',Foul by Samu (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,42,43903761,50',"Corner, Celje. Conceded by Bruno Gaspar.",2024-10-29 05:21:26
12898,720610,43,43903773,51',Foul by Luka Bobicanec (Celje).,2024-10-29 05:21:26
12898,720610,44,43903773,51',Gustavo Silva (Vitoria Guimaraes) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,45,43903787,52',Attempt blocked. Gustavo Silva (Vitoria Guimaraes) right footed shot from outside the box is blocked. Assisted by Samu.,2024-10-29 05:21:26
12898,720610,46,43903788,54',Attempt missed. Tomás Händel (Vitoria Guimaraes) left footed shot from the centre of the box is too high.,2024-10-29 05:21:26
12898,720610,47,43903799,55',Attempt saved. Kaio César (Vitoria Guimaraes) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Tomás Händel with a through ball.,2024-10-29 05:21:26
12898,720610,48,43903800,55',Attempt blocked. Kaio César (Vitoria Guimaraes) left footed shot from the centre of the box is blocked.,2024-10-29 05:21:26
12898,720610,49,-1,57',"Corner, Vitoria Guimaraes. Conceded by Klemen Nemanic.",2024-10-29 05:21:26
12898,720610,50,43903814,60',"Corner, Celje. Conceded by Bruno Gaspar.",2024-10-29 05:21:26
12898,720610,51,43903816,61',"Corner, Celje. Conceded by Gustavo Silva.",2024-10-29 05:21:26
12898,720610,52,43903842,62',Attempt blocked. Nélson Oliveira (Vitoria Guimaraes) left footed shot from the centre of the box is blocked. Assisted by João Teixeira Mendes.,2024-10-29 05:21:26
12898,720610,53,43903827,62',"Goal! Vitoria Guimaraes 3, Celje 1. Tiago Silva (Vitoria Guimaraes) right footed shot from the centre of the box to the high centre of the goal. Assisted by Gustavo Silva following a fast break.",2024-10-29 05:21:26
12898,720610,54,43903843,63',"Substitution, Celje. Clément Lhernault replaces Luka Bobicanec.",2024-10-29 05:21:26
12898,720610,55,43903844,63',"Substitution, Celje. Nino Kouter replaces Marco Dulca.",2024-10-29 05:21:26
12898,720610,56,-1,66',Delay in match (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,57,43903846,67',"Substitution, Vitoria Guimaraes. Zé Carlos replaces Tiago Silva.",2024-10-29 05:21:26
12898,720610,58,43903847,67',"Substitution, Vitoria Guimaraes. Chuchu Ramírez replaces Nélson Oliveira.",2024-10-29 05:21:26
12898,720610,59,43903849,67',"Substitution, Vitoria Guimaraes. Nuno Santos replaces Gustavo Silva.",2024-10-29 05:21:26
12898,720610,60,-1,67',Delay over. They are ready to continue.,2024-10-29 05:21:26
12898,720610,61,43903853,69',Foul by Armandas Kucys (Celje).,2024-10-29 05:21:26
12898,720610,62,43903853,69',Zé Carlos (Vitoria Guimaraes) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,63,43903854,69',Armandas Kucys (Celje) is shown the yellow card for a bad foul.,2024-10-29 05:21:26
12898,720610,64,43903860,71',"Corner, Celje. Conceded by Toni Borevkovic.",2024-10-29 05:21:26
12898,720610,65,43903861,71',"Offside, Celje. Klemen Nemanic is caught offside.",2024-10-29 05:21:26
12898,720610,66,43903864,72',Attempt missed. Nuno Santos (Vitoria Guimaraes) right footed shot from the centre of the box is too high. Assisted by Zé Carlos.,2024-10-29 05:21:26
12898,720610,67,43903871,73',Foul by Bruno Gaspar (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,68,43903871,73',Tamar Svetlin (Celje) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,69,43903872,73',"Substitution, Celje. Edmilson replaces Armandas Kucys.",2024-10-29 05:21:26
12898,720610,70,43903888,75',Attempt saved. Kaio César (Vitoria Guimaraes) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Nuno Santos.,2024-10-29 05:21:26
12898,720610,71,43903890,76',Attempt missed. Kaio César (Vitoria Guimaraes) left footed shot from outside the box is too high. Assisted by Bruno Gaspar.,2024-10-29 05:21:26
12898,720610,72,43903891,76',"Substitution, Vitoria Guimaraes. Manu Silva replaces Tomás Händel.",2024-10-29 05:21:26
12898,720610,73,43903892,76',"Substitution, Vitoria Guimaraes. João Mendes replaces Samu.",2024-10-29 05:21:26
12898,720610,74,43903894,77',"Corner, Vitoria Guimaraes. Conceded by Nino Kouter.",2024-10-29 05:21:26
12898,720610,75,43903899,80',Attempt saved. Chuchu Ramírez (Vitoria Guimaraes) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Kaio César.,2024-10-29 05:21:26
12898,720610,76,43903900,80',"Corner, Vitoria Guimaraes. Conceded by Matjaz Rozman.",2024-10-29 05:21:26
12898,720610,77,-1,80',Delay in match because of an injury Nino Kouter (Celje).,2024-10-29 05:21:26
12898,720610,78,-1,81',Delay over. They are ready to continue.,2024-10-29 05:21:26
12898,720610,79,43903917,83',Chuchu Ramírez (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,80,43903917,83',Klemen Nemanic (Celje) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,81,43903920,87',Chuchu Ramírez (Vitoria Guimaraes) wins a free kick in the defensive half.,2024-10-29 05:21:26
12898,720610,82,43903920,87',Foul by Edmilson (Celje).,2024-10-29 05:21:26
12898,720610,83,43903921,87',Edmilson (Celje) is shown the yellow card for a bad foul.,2024-10-29 05:21:26
12898,720610,84,-1,87',Delay in match because of an injury Chuchu Ramírez (Vitoria Guimaraes).,2024-10-29 05:21:26
12898,720610,85,-1,88',Delay over. They are ready to continue.,2024-10-29 05:21:26
12898,720610,86,43903923,89',Attempt saved. João Teixeira Mendes (Vitoria Guimaraes) left footed shot from outside the box is saved in the centre of the goal.,2024-10-29 05:21:26
12898,720610,87,43903931,90',Attempt saved. João Mendes (Vitoria Guimaraes) right footed shot from outside the box is saved in the top centre of the goal. Assisted by Kaio César.,2024-10-29 05:21:26
12898,720610,88,43903934,90',"Corner, Vitoria Guimaraes. Conceded by Matjaz Rozman.",2024-10-29 05:21:26
12898,720610,89,-1,90',Fourth official has announced 3 minutes of added time.,2024-10-29 05:21:26
12898,720610,90,43903946,90'+3',Attempt missed. Kaio César (Vitoria Guimaraes) left footed shot from the right side of the box misses to the left. Assisted by Manu Silva.,2024-10-04 05:37:14
12898,720610,91,43903947,90'+3',Clément Lhernault (Celje) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720610,92,43903947,90'+3',Foul by Nuno Santos (Vitoria Guimaraes).,2024-10-04 05:37:14
12898,720610,93,-1,90'+3',Delay in match because of an injury Svit Seslar (Celje).,2024-10-04 05:37:14
12898,720610,94,-1,90'+4',Delay over. They are ready to continue.,2024-10-04 05:37:14
12898,720610,95,43903949,90'+4',"Second Half ends, Vitoria Guimaraes 3, Celje 1.",2024-10-04 05:37:14
12898,720610,96,-1,,"Match ends, Vitoria Guimaraes 3, Celje 1.",2024-10-04 05:37:14
12898,720611,0,-1,,Lineups are announced and players are warming up.,2024-10-04 05:37:14
12898,720611,1,43910065,,First Half begins.,2024-10-04 05:37:14
12898,720611,2,43910514,4',Foul by Mathias Løvik (Molde).,2024-10-04 05:37:14
12898,720611,3,43910514,4',Sean Graham (Larne) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720611,4,43910927,7',Attempt saved. Magnus Eikrem (Molde) right footed shot from the right side of the box is saved in the top centre of the goal. Assisted by Martin Linnes.,2024-10-04 05:37:14
12898,720611,5,43910261,8',Attempt missed. Ola Brynhildsen (Molde) right footed shot from the centre of the box misses to the left. Assisted by Mathias Løvik with a cross.,2024-10-04 05:37:14
12898,720611,6,43910413,11',"Offside, Larne. Jordan McEneff is caught offside.",2024-10-04 05:37:14
12898,720611,7,43910482,15',"Offside, Molde. Martin Linnes is caught offside.",2024-10-04 05:37:14
12898,720611,8,43910516,15',Foul by Jordan McEneff (Larne).,2024-10-04 05:37:14
12898,720611,9,43910516,15',Markus Kaasa (Molde) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720611,10,43910594,17',Foul by Sam Todd (Larne).,2024-10-04 05:37:14
12898,720611,11,43910594,17',Ola Brynhildsen (Molde) wins a free kick in the attacking half.,2024-10-04 05:37:14
12898,720611,12,43910595,18',Sam Todd (Larne) is shown the yellow card for a bad foul.,2024-10-04 05:37:14
12898,720611,13,-1,18',Delay in match because of an injury Ola Brynhildsen (Molde).,2024-10-04 05:37:14
12898,720611,14,-1,19',Delay over. They are ready to continue.,2024-10-04 05:37:14
12898,720611,15,43910675,20',"Corner, Molde. Conceded by Shaun Want.",2024-10-04 05:37:14
12898,720611,16,43910676,21',Attempt missed. Isak Amundsen (Molde) header from the centre of the box misses to the right. Assisted by Magnus Eikrem with a cross following a corner.,2024-10-05 05:40:46
12898,720611,17,43910778,22',Emil Breivik (Molde) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720611,18,43910778,22',Foul by George Marsh (Larne).,2024-10-04 05:37:14
12898,720611,19,43910929,26',Attempt blocked. Ola Brynhildsen (Molde) right footed shot from the centre of the box is blocked. Assisted by Emil Breivik with a through ball.,2024-10-04 05:37:14
